75	2061100484	CENTRU DE PEDAGOGIE CURATIVĂ SIMERIA	CENTRU DE PEDAGOGIE CURATIVĂ SIMERIA	SIMERIA VECHE	ORAŞ SIMERIA	HUNEDOARA	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
76	2561101401	CENTRU ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ "CONSTANTIN PUFAN"	CSEI C. PUFAN	DROBETA-TURNU SEVERIN	MUNICIPIUL DROBETA-TURNU SEVERIN	MEHEDINŢI	Cu personalitate juridică	Unitate de învățământ	Publică de interes naţional şi local
77	4062108166	Centrul de Educație Specială	Centrul de Educație Specială	BUCUREŞTI SECTORUL 2	MUNICIPIUL BUCUREŞTI	MUNICIPIUL BUCUREŞTI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
78	3541100066	CENTRUL DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ "SPERANȚA" TIMIȘOARA	CENTR.ED.SPEC SPERANTA TIMISOARA	TIMIŞOARA	MUNICIPIUL TIMIŞOARA	TIMIŞ	Cu personalitate juridică	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
79	3361203686	CENTRUL DE STUDII "ȘTEFAN CEL MARE ȘI SFÂNT - BUCOVINA" CÂMPULUNG MOLDOVENESC	CENTRUL DE STUDII ”ST. CEL MARE ȘI SFÂNT” C-LUNG M	CÂMPULUNG MOLDOVENESC	MUNICIPIUL CÂMPULUNG MOLDOVENESC	SUCEAVA	Cu personalitate juridică	Unitate de învățământ	Privată
80	3262103789	CENTRUL DE ZI "CASA LUMINII" SIBIU	CENTRU DE ZI "CASA LUMINII" SIBIU	SIBIU	MUNICIPIUL SIBIU	SIBIU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
81	3961205489	CENTRUL EDUCATIV DE ZI "MARIA-AJUTORUL COPIILOR" FOCSANI	CZ "MARIA-AJUTORUL COPIILOR" FOCSANI	FOCŞANI	MUNICIPIUL FOCŞANI	VRANCEA	Cu personalitate juridică	Unitate de învățământ	Privată
82	0742105478	CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA	CJAPP	BOTOŞANI	MUNICIPIUL BOTOŞANI	BOTOŞANI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
83	1742100344	CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA	CJAP GL	GALAŢI	MUNICIPIUL GALAŢI	GALAŢI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
84	5142103708	CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA CALARASI	CJAP CALARASI	CĂLĂRAŞI	MUNICIPIUL CĂLĂRAŞI	CĂLĂRAŞI	Arondată	Centru județean de resurse și asistență educațională	Publică de interes naţional şi local
85	0191105924	CENTRUL JUDETEAN DE EXCELENTA ALBA	CJE ALBA	ALBA IULIA	MUNICIPIUL ALBA IULIA	ALBA	Cu personalitate juridică	Centru Județean de Excelență	Publică de interes naţional şi local
86	1691106232	CENTRUL JUDETEAN DE EXCELENTA DOLJ	CJE DOLJ	CRAIOVA	MUNICIPIUL CRAIOVA	DOLJ	Cu personalitate juridică	Centru Județean de Excelență	Publică de interes naţional şi local
87	1791104893	CENTRUL JUDETEAN DE EXCELENTA GALATI	CJE GALAȚI	GALAŢI	MUNICIPIUL GALAŢI	GALAŢI	Cu personalitate juridică	Centru Județean de Excelență	Publică de interes naţional şi local
