17800	2962103799	ȘCOALA PRIMARĂ, SAT BĂLTIȚA, COMUNA MĂNEȘTI	SCOALA PRIMARA BALTITA MANESTI	BĂLTIŢA	MĂNEŞTI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17801	3762102577	ȘCOALA PRIMARĂ, SAT BĂNCEȘTI	S04 BĂNCEȘTI	BĂNCEŞTI	VOINEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17802	3762106649	ȘCOALA PRIMARĂ, SAT BĂRȚĂLUȘI-MOCANI	S04 BĂRȚĂLUȘI	BĂRTĂLUŞ-MOCANI	PUIEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17803	3762103058	ȘCOALA PRIMARĂ, SAT BÂRLĂLEȘTI	S04 BÂRLĂLEȘTI	BÂRLĂLEŞTI	EPURENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17804	3762101956	ȘCOALA PRIMARĂ, SAT BÂRZEȘTI	S04 BÂRZEȘTI	BÂRZEŞTI	ŞTEFAN CEL MARE	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17805	1062105252	ŞCOALA PRIMARĂ SAT BÂSCENII DE JOS COMUNA CALVINI	ŞC.PRIM. BÂSCENII DE JOS	BÂSCENII DE JOS	CALVINI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17806	1062103372	ŞCOALA PRIMARĂ SAT BEGU COMUNA PĂNĂTĂU	ŞC. PRIMARĂ BEGU PĂNĂTĂU	BEGU	PĂNĂTĂU	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17807	3762103388	ȘCOALA PRIMARĂ, SAT BELZENI	S04 BELZENI	BELZENI	DRAGOMIREŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17808	3762107297	ȘCOALA PRIMARĂ, SAT BEREASA	S04 BEREASA	BEREASA	DĂNEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17809	3762103316	ȘCOALA PRIMARĂ, SAT BOGDĂNEȘTI	S04 BOGDĂNEȘTI	BOGDĂNEŞTI	FĂLCIU	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17810	3762102672	ȘCOALA PRIMARĂ, SAT BOGEȘTI	S04 BOGEȘTI	BOGEŞTI	POGANA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17811	3762102505	ȘCOALA PRIMARĂ, SAT BOLAȚI	S04 BOLAȚI	BOLAŢI	REBRICEA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17812	3762101974	ȘCOALA PRIMARĂ, SAT BRĂHĂȘOAIA	S04 BRĂHĂȘOAIA	BRĂHĂŞOAIA	ŞTEFAN CEL MARE	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17813	3762102776	ȘCOALA PRIMARĂ, SAT BROSCOȘEȘTI	S04 BROSCOȘEȘTI	BROSCOŞEŞTI	LUNCA BANULUI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17814	3762100539	ȘCOALA PRIMARĂ, SAT BUDA	S04 BUDA	BUDA	ALEXANDRU VLAHUŢĂ	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17815	3762103795	ȘCOALA PRIMARĂ, SAT BUDA	S04 BUDA	BUDA	BOGDĂNEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17816	3762100299	ȘCOALA PRIMARĂ, SAT BUDA	S04 BUDA	BUDA	OŞEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17817	1062100057	ŞCOALA PRIMARĂ SAT BUDREA COMUNA RACOVIŢENI	ŞC.PRIM. BUDREA RACOVIŢENI	BUDREA	RACOVIŢENI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17818	3762102844	ȘCOALA PRIMARĂ, SAT BUSCATA	S04 BUSCATA	BUSCATA	IVĂNEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17819	3762106554	ȘCOALA PRIMARĂ, SAT CĂLIMĂNEȘTI	S04 CĂLIMĂNEȘTI	CĂLIMĂNEŞTI	PUIEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17820	3762100462	ȘCOALA PRIMARĂ, SAT CĂPUȘNENI	S04 CĂPUȘNENI	CĂPUŞNENI	LIPOVĂŢ	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17821	1062105763	ŞCOALA PRIMARĂ SAT CĂTIAŞU COMUNA CHIOJDU	ŞC. PRIMARĂ CĂTIAŞU CHIOJDU	CĂTIAŞU	CHIOJDU	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17822	3762102437	ȘCOALA PRIMARĂ, SAT CĂZĂNEȘTI	S04 CĂZĂNEȘTI	CĂZĂNEŞTI	ORAŞ NEGREŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17823	3762102247	ȘCOALA PRIMARĂ, SAT CÂRJA	S04 CÂRJA	CÂRJA	ORAŞ MURGENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17824	2962105964	ȘCOALA PRIMARĂ, SAT CERNEȘTI, COMUNA IZVOARELE	SCOALA PRIMARA CERNESTI IZVOARELE	CERNEŞTI	IZVOARELE	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17825	3762106676	ȘCOALA PRIMARĂ, SAT CETĂȚUIA	S04 CETĂȚUIA	CETĂŢUIA	PUIEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17826	3762101499	ȘCOALA PRIMARĂ, SAT CHIRCEȘTI	S04 CHIRCEȘTI	CHIRCEŞTI	MICLEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17827	1062101759	ŞCOALA PRIMARĂ SAT CHIRLEŞTI ORAŞ NEHOIU	ŞC. PRIMARĂ CHIRLEŞTI NEHOIU	CHIRLEŞTI	ORAŞ NEHOIU	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17828	3762101757	ȘCOALA PRIMARĂ, SAT CHIȚCANI	S04 CHIȚCANI	CHIŢCANI	COSTEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17829	3762102428	ȘCOALA PRIMARĂ, SAT CIOATELE	S04 CIOATELE	CIOATELE	ORAŞ NEGREŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17830	1062103942	ŞCOALA PRIMARĂ SAT CIREŞU COMUNA MÂNZĂLEŞTI	ŞC. PRIMARĂ CIREŞU MÂNZĂLEŞTI	CIREŞU	MÂNZĂLEŞTI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17831	1062101275	ȘCOALA PRIMARĂ SAT CIUTA COMUNA MĂGURA	ȘC. PRIM. CIUTA	CIUTA	MĂGURA	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17832	2962103781	ȘCOALA PRIMARĂ, SAT COADA IZVORULUI, COMUNA MĂNEȘTI	SCOALA PRIMARA COADA IZVORULUI	COADA IZVORULUI	MĂNEŞTI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17833	1062102977	ŞCOALA PRIMARĂ SAT COCA ANTIMIREŞTI COMUNA VINTILĂ VODĂ	ŞC. PRIMARĂ COCA ANTIMIREŞTI VINTILĂ VODĂ	COCA-ANTIMIREŞTI	VINTILĂ VODĂ	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17834	2962104416	ȘCOALA PRIMARĂ, SAT COCORÂȘTII GRIND, COMUNA COCORĂȘTII COLȚ	SCOALA PRIMARA COCORASTII GRIND	COCORĂŞTII GRIND	COCORASTII COLT	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17835	1062100749	ŞCOALA PRIMARĂ SAT COLIBAŞI COMUNA RÂMNICELU	ŞC.PRIM. COLIBAŞI RÂMNICELU	COLIBAŞI	RÂMNICELU	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17836	3762103284	ȘCOALA PRIMARĂ, SAT COPĂCEANA	S04 COPĂCEANA	COPĂCEANA	FĂLCIU	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17837	3762100417	ȘCOALA PRIMARĂ, SAT CORBU	S04 CORBU	CORBU	LIPOVĂŢ	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17838	3762103239	ȘCOALA PRIMARĂ, SAT CORODEȘTI	S04 CORODEȘTI	CORODEŞTI	GHERGHEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17839	3762102075	ȘCOALA PRIMARĂ, SAT COROIEȘTI	S04 COROIEȘTI	COROIEŞTI	BOGDĂNIŢA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17840	1062103119	ŞCOALA PRIMARĂ SAT COSTIENI COMUNA ZIDURI	ŞC. PRIMARĂ COSTIENI ZIDURI	COSTIENI	ZIDURI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17841	3762102835	ȘCOALA PRIMARĂ, SAT COȘCA	S04 COȘCA	COŞCA	IVĂNEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17842	3762102957	ȘCOALA PRIMARĂ, SAT COȘEȘTI	S04 COȘEȘTI	COŞEŞTI	IVĂNEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17843	3762101219	ȘCOALA PRIMARĂ, SAT COTIC	S04 COTIC	COTIC	TODIREŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17844	1062106158	ȘCOALA PRIMARĂ SAT COTORCA COMUNA GLODEANU SILIȘTEA	ȘC. PRIMARĂ COTORCA GLODEANU SILIȘTEA	COTORCA	GLODEANU-SILIŞTEA	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17845	1062107001	ŞCOALA PRIMARĂ SAT COTU CIORII COMUNA C.A.ROSETTI	ȘC.PRIM.COTU CIORII	COTU CIORII	C.A. ROSETTI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17846	2962105209	ȘCOALA PRIMARĂ, SAT COȚOFENEȘTI, COMUNA VĂRBILĂU	SCOALA PRIMARA COTOFENESTI VARBILAU	COŢOFENEŞTI	VĂRBILĂU	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17847	3762104077	ȘCOALA PRIMARĂ, SAT CRASNA	S04 CRASNA	CRASNA	ALBEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17848	3762102283	ȘCOALA PRIMARĂ, SAT CRĂCIUNEȘTI	S04 CRĂCIUNEȘTI	CRĂCIUNEŞTI	REBRICEA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17849	3762105381	ȘCOALA PRIMARĂ, SAT CRÂNG	S04 CRÂNG	CRÂNG	CIOCANI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17850	3762105372	ȘCOALA PRIMARĂ, SAT CRÂNGU NOU	S04 CRÂNGU NOU	CRÂNGU NOU	CIOCANI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17851	3762105874	ȘCOALA PRIMARĂ, SAT CREȚEȘTI	S04 CREȚEȘTI	CREŢEŞTI	CREŢEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17852	3762106581	ȘCOALA PRIMARĂ, SAT CRISTEȘTI	S04 CRISTEȘTI	CRISTEŞTI	PUIEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17853	3762101178	ȘCOALA PRIMARĂ, SAT CRIVEȘTI	S04 CRIVEȘTI	CRIVEŞTI	TUTOVA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17854	1062103051	ŞCOALA PRIMARĂ SAT CUCULEASA COMUNA ZIDURI	ŞC. PRIMARĂ CUCULEASA ZIDURI	CUCULEASA	ZIDURI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17855	2962104131	ȘCOALA PRIMARĂ, SAT CUIB, COMUNA GORNET	SCOALA PRIMARA GORNET CUIB	GORNET	GORNET	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17856	3762101332	ȘCOALA PRIMARĂ, SAT CURSEȘTI DEAL	S04 CURSEȘTI DEAL	CURSEŞTI-DEAL	PUNGEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17857	3762101359	ȘCOALA PRIMARĂ, SAT CURSEȘTI VALE	S04 CURSEȘTI VALE	CURSEŞTI-VALE	PUNGEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17858	3762105657	ȘCOALA PRIMARĂ, SAT DEALU MARE	S04 DEALU MARE	DEALU MARE	ZORLENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17859	1062100283	ŞCOALA PRIMARĂ SAT DEALUL VIEI COMUNA MEREI	ŞC.PRIM. DEALUL VIEI MEREI	DEALUL VIEI	MEREI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17860	3762103117	ȘCOALA PRIMARĂ, SAT DELENI	S04 DELENI	DELENI	HOCENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17861	3762105639	ȘCOALA PRIMARĂ, SAT DELENI	S04 DELENI	DELENI	DELENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17862	3762100738	ȘCOALA PRIMARĂ, SAT DOBROSLOVEȘTI	S04 DOBROSLOVEȘTI	DOBROSLOVEŞTI	ZĂPODENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17863	3762101047	ȘCOALA PRIMARĂ, SAT DOCANI	S04 DOCANI	DOCANI	VINDEREI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17864	3762103429	ȘCOALA PRIMARĂ, SAT DRAGOMIREȘTI	S04 DRAGOMIREȘTI	DRAGOMIREŞTI	DRAGOMIREŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17865	3762103203	ȘCOALA PRIMARĂ, SAT DRAXENI	S04 DRAXENI	DRĂXENI	GHERGHEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17866	2962104556	ȘCOALA PRIMARĂ, SAT DRĂGĂNEASA, COMUNA PROVIȚA DE JOS	SCOALA PRIMARA DRAGANEASA PROVITA DE JOS	DRĂGĂNEASA	PROVIŢA DE JOS	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17867	3762101196	ȘCOALA PRIMARĂ, SAT DRĂGEȘTI	S04 DRĂGEȘTI	DRĂGEŞTI	TODIREŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17868	3762102161	ȘCOALA PRIMARĂ, SAT DRUJEȘTI	S04 DRUJEȘTI	DRUJEŞTI	BĂCANI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17869	3762100634	ȘCOALA PRIMARĂ, SAT DUMASCA	S04 DUMASCA	DUMASCA	TĂCUTA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17870	2962105417	ȘCOALA PRIMARĂ, SAT FÂNARI, COMUNA OLARI	SCOALA PRIMARA FANARI OLARI	FÂNARI	OLARI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17871	1062100993	ŞCOALA PRIMARĂ SAT FINŢEŞTI COMUNA NĂENI	ŞC. PRIMARĂ FINŢEŞTI NĂENI	FINŢEŞTI	NĂENI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17872	1062100758	ŞCOALA PRIMARĂ SAT FOTIN COMUNA RÂMNICELU	ŞC.PRIM. FOTIN RÂMNICELU	FOTIN	RÂMNICELU	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17873	3762100227	ȘCOALA PRIMARĂ, SAT FRASINU	S04 FRASINU	FRASINU	POIENEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17874	3762106599	ȘCOALA PRIMARĂ, SAT FULGU	S04 FULGU	FULGU	PUIEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17875	3762106296	ȘCOALA PRIMARĂ, SAT GĂVANU	S04 GĂVANU	GĂVANU	BOGDANA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17876	3762106536	ȘCOALA PRIMARĂ, SAT GHERGHELEU	S04 GHERGHELEU	GHERGHELEU	CODĂEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17877	3762103221	ȘCOALA PRIMARĂ, SAT GHERGHEȘTI	S04 GHERGHEȘTI	GHERGHEŞTI	GHERGHEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17878	3762104005	ȘCOALA PRIMARĂ, SAT GHERMĂNEȘTI	S04 GHERMĂNEȘTI	GHERMĂNEŞTI	BANCA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17879	2962106047	ȘCOALA PRIMARĂ, SAT GOGA, COMUNA RÂFOV	SCOALA PRIMARA GOGA RÂFOV	GOGA	RÂFOV	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17880	1062103779	ŞCOALA PRIMARĂ SAT GOIDESTI COMUNA BRĂESTI	ŞC.PRIM. GOIDEŞTI	GOIDEŞTI	BRĂEŞTI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17881	1062101492	ŞCOALA PRIMARĂ SAT GOLU GRABCINA COMUNA SCORŢOASA	ŞC.PRIM. GOLU GRABICINA SCORŢOASA	GOLU GRABICINA	SCORŢOASA	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17882	3762103587	ȘCOALA PRIMARĂ, SAT GRUMEZOAIA	S04 GRUMEZOAIA	GRUMEZOAIA	DIMITRIE CANTEMIR	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17883	3762100937	ȘCOALA PRIMARĂ, SAT GURA IDRICI	S04 GURA IDRICI	GURA IDRICI	ROŞIEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17884	3762103596	ȘCOALA PRIMARĂ, SAT GUȘIȚEI	S04 GUȘIȚEI	GUŞIŢEI	DIMITRIE CANTEMIR	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17885	3762101644	ȘCOALA PRIMARĂ, SAT HĂLĂREȘTI	S04 HĂLĂREȘTI	HĂLĂREŞTI	IANA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17886	1062103101	ŞCOALA PRIMARĂ SAT HELIADE RĂDULESCU COMUNA ZIDURI	ŞC. PRIMARĂ H. RĂDULESCU ZIDURI	HELIADE RĂDULESCU	ZIDURI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17887	1062105478	ȘCOALA PRIMARĂ SAT HOMEȘTI COMUNA GREBĂNU	ȘC. PRIMARĂ HOMEȘTI GREBĂNU	HOMEŞTI	GREBĂNU	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17888	3762103031	ȘCOALA PRIMARĂ, SAT HORGA	S04 HORGA	HORGA	EPURENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17889	3762103827	ȘCOALA PRIMARĂ, SAT HOROIATA	S04 HOROIATA	HOROIATA	BOGDĂNEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17890	3762103691	ȘCOALA PRIMARĂ, SAT HREASCA	S04 HREASCA	HREASCA	COROIEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17891	3762101187	ȘCOALA PRIMARĂ, SAT HUC	S04 HUC	HUC	TODIREŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17892	3762100955	ȘCOALA PRIMARĂ, SAT IDRICI	S04 IDRICI	IDRICI	ROŞIEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17893	3762101436	ȘCOALA PRIMARĂ, SAT IVĂNEȘTI	S04 IVĂNEȘTI	IVĂNEŞTI	PĂDURENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17894	3762102948	ȘCOALA PRIMARĂ, SAT IVĂNEȘTI	S04 IVĂNEȘTI	IVĂNEŞTI	IVĂNEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17895	1062102733	ŞCOALA PRIMARĂ SAT IZVORUL DULCE COMUNA BECENI	ŞC.PRIM.IZVORUL DULCE BECENI	IZVORU DULCE	BECENI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17896	1062103969	ŞCOALA PRIMARĂ SAT JGHEAB COMUNA MÂNZĂLEŞTI	ŞC. PRIMARĂ JGHEAB MÂNZĂLEŞTI	JGHIAB	MÂNZĂLEŞTI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17897	3762106328	ȘCOALA PRIMARĂ, SAT LACU-BABEI	S04 LACU BABEI	LACU BABEI	BOGDANA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17898	1062105329	ŞCOALA PRIMARĂ SAT LACURILE COMUNA BISOCA	ŞC.PRIM. LACURILE	LACURILE	BISOCA	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17899	1062103078	ŞCOALA PRIMARĂ SAT LANURILE COMUNA ZIDURI	ŞC. PRIMARĂ LANURILE ZIDURI	LANURILE	ZIDURI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17900	3762105467	ȘCOALA PRIMARĂ, SAT LEOȘTI	S04 LEOȘTI	LEOŞTI	TĂTĂRĂNI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17901	1062105519	ȘCOALA PRIMARĂ SAT LIVADA COMUNA GREBĂNU	ȘC. PRIMARĂ LIVADA GREBĂNU	LIVADA MICĂ	GREBĂNU	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17902	2962105227	ȘCOALA PRIMARĂ, SAT LIVADEA, COMUNA VĂRBILĂU	SCOALA PRIMARA LIVADEA VARBILAU	LIVADEA	VĂRBILĂU	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17903	2962103876	ȘCOALA PRIMARĂ, SAT LOPATNIȚA, COMUNA ȘOIMARI	SCOALA PRIMARA LOPATNITA SOIMARI	LOPATNIŢA	ŞOIMARI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17904	1062106547	ŞCOALA PRIMARĂ SAT LUCIENI COMUNA SMEENI	ŞC.PRIM. LUCIENI UDAŢI SMEENI	SMEENI	SMEENI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17905	3762103189	ȘCOALA PRIMARĂ, SAT LUNCA	S04 LUNCA	LUNCA	GHERGHEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17906	1062101655	ŞCOALA PRIMARĂ SAT LUNCA COMUNA C.A.ROSETTI	ŞC.PRIM.LUNCA	LUNCA	C.A. ROSETTI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17907	1062103336	ŞCOALA PRIMARĂ SAT LUNCA FRUMOASĂ COMUNA PÎRSCOV	ŞC. PRIMARĂ LUNCA FRUMOASĂ PÎRSCOV	LUNCA FRUMOASĂ	PÂRSCOV	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17908	2962105842	ȘCOALA PRIMARĂ, SAT LUNCA PRAHOVEI, COMUNA MĂGURENI	SCOALA PRIMARA LUNCA PRAHOVEI	LUNCA PRAHOVEI	MĂGURENI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17909	1062105641	ȘCOALA PRIMARĂ SAT LUNCILE COMUNA LOPĂTARI	ȘC. PRIMARĂ LUNCILE LOPĂTARI	LUNCILE	LOPĂTARI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17910	3762101531	ȘCOALA PRIMARĂ, SAT LUPEȘTI	S04 LUPEȘTI	LUPEŞTI	MĂLUŞTENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17911	2962105901	ȘCOALA PRIMARĂ, SAT MALU VÂNAT, COMUNA IZVOARELE	SCOALA PRIMARA MALU VINAT IZVOARELE	MALU VÂNĂT	IZVOARELE	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17912	2962105236	ȘCOALA PRIMARĂ, SAT MATIȚA, COMUNA PĂCUREȚI	SCOALA GIMNAZIALA MATITA PACURETI	MATIŢA	PĂCUREŢI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17913	2962103867	ȘCOALA PRIMARĂ, SAT MĂGURA, COMUNA ȘOIMARI	SCOALA PRIMARA MAGURA SOIMARI	MĂGURA	ŞOIMARI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17914	2962106074	ȘCOALA PRIMARĂ, SAT MĂLĂIEȘTI, COMUNA RÂFOV	SCOALA PRIMARA MALAIESTI RÂFOV	MĂLĂIEŞTI	RÂFOV	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17915	1062101144	ȘCOALA PRIMARĂ SAT MĂRGINEANU COMUNA MIHĂILEȘTI	ȘC. PRIMARĂ MĂRGINEANU MIHĂILEȘTI	MĂRGINEANU	MIHĂILEŞTI	BUZĂU	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17916	3762105716	ȘCOALA PRIMARĂ, SAT MÂNZAȚI	S04 MÂNZAȚI	MÂNZAŢI	IBĂNEŞTI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17917	3762101567	ȘCOALA PRIMARĂ, SAT MÂNZĂȚEȘTI	S04 MÂNZĂȚEȘTI	MÂNZĂTEŞTI	MĂLUŞTENI	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17918	2962101354	ȘCOALA PRIMARĂ, SAT MERI, COMUNA DRĂGĂNEȘTI	SCOALA PRIMARA MERI DRAGANESTI	MERI	DRĂGĂNEŞTI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17919	3762103913	ȘCOALA PRIMARĂ, SAT MICLEȘTI	S04 MICLEȘTI	MICLEŞTI	BANCA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17920	3762100593	ȘCOALA PRIMARĂ, SAT MIRCEȘTI	S04 MIRCEȘTI	MIRCEŞTI	TĂCUTA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17921	2962105783	ȘCOALA PRIMARĂ, SAT MIROSLAVEȘTI, COMUNA PUCHENII MARI	SCOALA PRIMARA MIROSLAVESTI PUCHENI	MIROSLĂVEŞTI	PUCHENII MARI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17922	3762103985	ȘCOALA PRIMARĂ, SAT MITOC	S04 MITOC	MITOC	BANCA	VASLUI	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17923	2962106092	ȘCOALA PRIMARĂ, SAT MOARA DOMNEASCĂ, COMUNA RÂFOV	SCOALA PRIMARA MOARA DOMNEASCA	MOARA DOMNEASCĂ	RÂFOV	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
17924	2962104072	ȘCOALA PRIMARĂ, SAT MOARA NOUĂ, COMUNA BERCENI	SCOALA PRIMARA MOARA NOUA	MOARA NOUĂ	BERCENI	PRAHOVA	Arondată	Unitate de învățământ	Publică de interes naţional şi local
